Termino_Ingles,Transcripcion_IPA
insularity,ˌɪnsəˈlɛrɪti
angled,ˈæŋgəld
infinitely,ˈɪnfənətli
curio,ˈkjʊrioʊ
coalition,ˌkoʊəˈlɪʃən
ross,rɔs
polymer,ˈpɑləmər
mountainous,ˈmaʊntənəs
dwight,dwaɪt
motivate,ˈmoʊtəˌveɪt
olivette,ˈɑlɪˈvɛt
repose,riˈpoʊz
tarsus,ˈtɑrsəs
fob,fɔb
waag,wɑg
elapse,ɪˈlæps
unfathomable,ənˈfæðəməbəl
disharmony,dɪsˈhɑrməni
rubbers,ˈrəbərz
domesticate,dəˈmɛstəˌkeɪt
berrier,ˈbɛriər
urban,ˈərbən
disregard,ˌdɪsrɪˈgɑrd
underwood,ˈəndərˌwʊd
prophetess,ˈprɑfətəs
exhibit,ɪgˈzɪbɪt
mushy,ˈməʃi
coffee,ˈkɔfi
winder,ˈwɪndər
interactivity,ˌɪnərˌækˈtɪvɪti
magnificent,mægˈnɪfɪsənt
khan,kɑn
cocoa,ˈkoʊkoʊ
possessing,pəˈzɛsɪŋ
syringe,ˈsɪrɪnʤ
memnon,ˈmɛmˌnɑn
bawd,bɔd
yemen,ˈjɛmən
industrial,ˌɪnˈdəstriəl
blick,blɪk
classic,ˈklæsɪk
nib,nɪb
magnify,ˈmægnəˌfaɪ
preamble,priˈæmbəl
bowing,boʊɪŋ
linus,ˈlaɪnəs
morphogenesis,ˌmɔrfəˈʤɛnəsəs
sprayer,spreɪər
ju,ʤu
dissonant,ˈdɪsənənt
intending,ˌɪnˈtɛndɪŋ
ritualistically,ˌrɪʧuəˈlɪstɪkəli
tass,tæs
production,pərˈdəkʃən
devastatingly,ˈdɛvəˌsteɪtɪŋli
zebra,ˈzibrə
turbo,ˈtərboʊ
lean,lin
lesson,ˈlɛsən
hesitancy,ˈhɛzɪtənsi
ganymede,ˈgænəˌmid
lecturer,ˈlɛkʧərər
warlock,ˈwɔˌrlɔk
binomial,baɪˈnoʊmiəl
snail,sneɪl
nonhuman,nɑnˈhjumən
mitten,ˈmɪtən
oblige,əˈblaɪʤ
spangled,ˈspæŋgəld
rummage,ˈrəmɪʤ
nineteen,ˈnaɪnˈtin
unconcern,ˌənkənˈsərn
samir,səˈmɪr
consecrated,ˈkɑnsəˌkreɪtɪd
cadaver,kəˈdævər
installment,ˌɪnˈstɔlmənt
stepfather,ˈstɛpˌfɑðər
interestingly,ˈɪntəˌrɛstɪŋli
teenage,ˈtiˌneɪʤ
bunny,ˈbəni
ceder,ˈsidər
platonist,ˈpleɪtənəst
headset,ˈhɛdˌsɛt
refining,rɪˈfaɪnɪŋ
huntress,ˈhəntrɪs
hue,hju
osmotic,ɑzˈmɑtək
extragalactic,ˌɛkstrəgəˈlæktɪk
bluey,blui
reincarnation,ˌriɪnkɑrˈneɪʃən
magnate,ˈmægˌneɪt
tangerine,ˌtænʤərˈin
depreciation,dɪˌpriʃiˈeɪʃən
implicit,ˌɪmˈplɪsət
blackwood,ˈblækˌwʊd
uniform,ˈjunəˌfɔrm
suggestion,səˈʤɛsʧən
arrival,ərˈaɪvəl
alphabetically,ˌælfəˈbɛtɪkli
roundtree,ˈraʊndˌtri
wonderland,ˈwəndərˌlænd
irradiation,ˌɪˌreɪdiˈeɪʃən
stony,ˈstoʊni
origin,ˈɔrəʤən
valkyrie,ˌvælˈkiˌriə
acoustic,əˈkustɪk
crab,kræb
stir,stər
ribaldry,ˈraɪbɑldri
conversion,kənˈvərʒən
camus,ˈkæmɪs
coil,kɔɪl
popeye,ˈpɑˌpaɪ
dexter,ˈdɛkstər
instigator,ˈɪnstəˌgeɪtər
hysterically,ˌhɪˈstɛrɪkli
sloppiness,sˈlɑpinəs
wasteland,ˈweɪˌstlænd
alphabetization,ˌælfəˌbɛtəˈzeɪʃən
farouk,fəˈruk
armada,ɑrˈmɑdə
overregulation,ˌoʊvərˌrɛgjəˈleɪʃən
abroad,əˈbrɔd
nonpacifist,ˌnɑnˈpæsɪfɪst
webber,ˈwɛbər
buster,ˈbəstər
dream,drim
westernize,ˈwɛstərˌnaɪz
anubis,əˈnubɪs
metalworking,ˈmɛtəlˌwərkɪŋ
scarce,skɛrs
strung,strəŋ
piece,pis
mist,mɪst
seaberry,ˈsiˌbɛri
latent,ˈleɪtənt
ephraim,ˈifrəm
procreate,ˈproʊkriˈeɪt
quiet,kwaɪət
drainage,ˈdreɪnɪʤ
enchanter,ɛnˈʧæntər
protean,ˈproʊtiən
emigrant,ˈɛməgrənt
vogue,voʊg
eking,ˈikɪŋ
unprincipled,ənˈprɪnsəpəld
libretto,lɪˈbrɛˌtoʊ
devotional,dɪˈvoʊʃənəl
nationhood,ˈneɪʃənˌhʊd
thumb,θəm
squash,skwɑʃ
tryphena,ˈtrɪfɪnə
confiding,kənˈfaɪdɪŋ
monotype,ˈmɑnəˌtaɪp
loper,ˈloʊpər
decorated,ˈdɛkərˌeɪtɪd
periscope,ˈpɛrəˌskoʊp
syllable,ˈsɪləbəl
mesenteric,ˌmɛsənˈtɛrɪk
impossibility,ˌɪmˌpɔsɪˈbɪlɪti
ethene,ˈɛˌθin
britain,ˈbrɪtən
maturation,ˌmæʧʊˈreɪʃən
backslapping,ˈbæksˌlæpɪŋ
grosser,ˈgroʊsər
arterial,ɑrˈtɪriəl
indestructibility,ˌɪndəˌstrəktɪˈbɪlɪti
ascribe,əˈskraɪb
admire,ædˈmaɪr
prolactin,proʊˈlæktən
ya,jɑ
korean,ˌkɔˈriən
alternator,ˈɔltərˌneɪtər
alvah,ælˈvɑ
grouper,ˈgrupər
methuselah,məθˈjuzələ
hieroglyphic,ˌhaɪroʊˈglɪfɪk
operetta,ˌɑpərˈɛtə
payoff,peɪɔf
chained,ʧeɪnd
macadamia,ˌmækəˈdeɪmiə
seeking,ˈsikɪŋ
sot,sɔt
picketer,ˈpɪkətər
meadowland,ˈmɛdoʊˈlænd
sundial,ˈsənˌdaɪl
felonious,fɛˈloʊniəs
comma,ˈkɑmə
paleontology,ˌpeɪliənˈtɑləʤi
medlar,ˈmɛdlər
observe,əbˈzərv
niobium,ˌnaɪˈoʊbiəm
banshee,ˈbænʃi
calamity,kəˈlæmɪti
sheely,ˈʃili
frailty,ˈfreɪlti
nitrogenous,naɪˈtrɑʤənəs
topple,ˈtɑpəl
bardolph,ˈbɑrdɑlf
cornered,ˈkɔrnərd
caraway,ˈkɛrəˌweɪ
windsor,ˈwɪnzər
endothelial,ˌɛndoʊˈθiˌliəl
laun,lɔn
bolt,boʊlt
commendable,kəˈmɛndəbəl
busser,ˈbəsər
crested,ˈkrɛstɪd
neet,nit
explode,ɪkˈsploʊd
gravimeter,ˈgrævəˌmitər
riding,ˈraɪdɪŋ
physics,ˈfɪzɪks
pantaloons,ˈpæntəˌlunz
team,tim
remote,rɪˈmoʊt
deliver,dɪˈlɪvər
organic,ɔrˈgænɪk
concessional,kənˈsɛʃənəl
inexpensively,ˌɪnəkˈspɛnsɪvli
foiling,ˈfɔɪlɪŋ
arjun,ˈɑrʤən
nosebleed,ˈnoʊzˌblid
affable,ˈæfəbəl
spiceland,ˈspaɪsˌlænd
odometer,ˌoʊˈdɑmətər
rancorousness,ˈræŋkərəsnɪs
reach,riʧ
interrogator,ˌɪnˈtɛrəˌgeɪtər
riddance,ˈrɪdəns
outpatient,ˈaʊtˌpeɪʃənt
niagara,naɪˈægrə
amplitude,ˈæmpləˌtud
rattle,ˈrætəl
caress,kərˈɛs
tarmac,ˈtɑrˌmæk
maker,ˈmeɪkər
futurism,fˈjuʧərˌɪzəm
unsafe,ənˈseɪf
mouthing,ˈmaʊðɪŋ
eatery,ˈitəri
creagh,krig
thoughtfully,ˈθɔtfəli
primary,ˈpraɪˌmɛri
goosefish,ˈgusˌfɪʃ
intercepting,ˌɪnərˈsɛptɪŋ
manga,ˈmæŋgə
duality,duˈæləti
predominant,prɪˈdɑmənənt
multiplier,ˈməltəˌplaɪər
dispersion,dɪˈspərʒən
issuable,ˈɪʃuəbəl
milled,mɪld
pretension,priˈtɛnʃən
aroma,ərˈoʊmə
wizened,ˈwaɪzənd
werner,ˈwərnər
tornado,tɔrˈneɪˌdoʊ
granite,ˈgrænɪt
crocheting,kroʊˈʃeɪɪŋ
mila,ˈmaɪlə
law,lɔ
javelin,ˈʤævəlɪn
botanic,bəˈtænɪk
ecology,ɪˈkɑləʤi
airy,ˈɛri
suffer,ˈsəfər
jest,ʤɛst
paled,peɪld
regimen,ˈrɛʤəmən
acidify,əˈsɪdəˌfaɪ
bombardier,ˌbɑmbərˈdɪr
quaff,kwɑf
resurgence,riˈsərʤəns
aquila,ˈækwələ
tuesday,ˈtuzˌdeɪ
scrapbook,ˈskræpˌbʊk
sulphur,ˈsəlfər
fetter,ˈfɛtər
seethe,sið
pale,peɪl
theresa,tərˈisə
salty,ˈsɔlti
stoicism,ˈstoʊəˌsɪzəm
electrodynamic,ˌɪˌlɛktroʊˌdaɪˈnæmɪk
mineralogy,ˌmɪnərˈɑləʤi
ribbing,ˈrɪbɪŋ
harr,hær
subcontinent,səbˈkɑntɪnənt
diaspora,daɪˈæspərə
stimulation,ˌstɪmjəˈleɪʃən
convoluted,ˈkɑnvəˌlutəd
chat,ʧæt
pneumonia,nəˈmoʊnjə
rarely,ˈrɛrli
clanking,ˈklæŋkɪŋ
immotile,ˌɪˈmoʊtəl
sampan,ˈsæmpæn
absorption,əbˈzɔrpʃən
confounded,kənˈfaʊndɪd
firehouse,ˈfaɪərˌhaʊs
greenly,ˈgrinli
overwinter,ˌoʊvərˈwɪntər
disposer,dɪˈspoʊzər
absolute,ˈæbsəˌlut
sadistic,səˈdɪstɪk
peruse,pəruz
ricardo,rɪˈkɑrdoʊ
during,ˈdʊrɪŋ
penurious,ˌpɛnˈjuriəs
transplant,trænˈsplænt
dependability,dɪˌpɛndəˈbɪlɪti
masculine,ˈmæskjələn
gala,ˈgælə
elegant,ˈɛləgənt
journey,ˈʤərni
durham,ˈdʊˈrhæm
tactful,ˈtæktfəl
supervisor,ˈsupərˌvaɪzər
sella,ˈsɛlə
inefficient,ˌɪnɪˈfɪʃənt
fermentation,ˌfərmənˈteɪʃən
confabulation,kənˌfæbjəˈleɪʃən
terminator,ˈtərməˌneɪtər
thundershower,ˈθəndərˌʃaʊwər
asbestos,æsˈbɛstəs
rented,ˈrɛntɪd
arcanum,ˈɑrkənəm
stripping,ˈstrɪpɪŋ
punta,ˈpʊntər
bottler,ˈbɑtlər
killifish,ˈkɪlɪfɪʃ
midwestern,mɪdˈwɛstərn
uneven,əˈnivən
fryer,fraɪər
skidded,ˈskɪdɪd
epicure,ˈɛpɪˌkjʊr
outspent,aʊtˈspɛnt
quavering,kˈweɪvərɪŋ
tremulous,ˈtrɛmjələs
comfortably,ˈkəmfərtəbli
cumin,ˈkjumən
crossover,ˈkrɔˌsoʊvər
mazer,ˈmeɪzər
loom,lum
faced,feɪst
completeness,kəmˈplitnəs
strain,streɪn
misnomer,mɪsˈnoʊmər
candelabra,ˌkændəˈlɑbrə
sticktight,ˈstɪkˌtaɪt
sudan,suˈdæn
red,rɛd
choleric,ˈkɑlərɪk
humorously,ˈhjumərəsli
bannister,ˈbænɪstər
bena,ˈbɛnə
categorically,ˌkætəˈgɔrɪkli
hammering,ˈhæmərɪŋ
animous,ˈænɪməs
triumphal,traɪˈəmfəl
soli,ˈsoʊˌli
nonresidential,ˌnɑnˌrɛzəˈdɛnʃəl
nauseate,ˈnɔziˌeɪt
idiosyncratic,ˌɪdioʊˌsɪnˈkrætɪk
euphory,ˈjufɔri
forgetful,fərˈgɛtfəl
exceeding,ɪkˈsidɪŋ
branching,ˈbrænʧɪŋ
yao,jaʊ
illusionary,ˌɪˈluʒəˌnɛri
depressive,dɪˈprɛsɪv
ernest,ˈərnɪst
voicing,ˈvɔɪsɪŋ
gaskin,ˈgæskɪn
keena,ˈkinə
activator,ˈæktəˌveɪtər
nutshell,ˈnətˌʃɛl
limited,ˈlɪmɪtɪd
award,əˈwɔrd
centauri,sɛnˈtɑri
perlite,ˈpərlaɪt
crea,kri
nonsmoking,ˈnɑnsˈmoʊkɪŋ
infidelity,ˌɪnfɪˈdɛlɪti
humanism,ˈhjuməˌnɪzəm
ptolemy,ˈtɑləmi
lowering,loʊərɪŋ
rodding,ˈrɑdɪŋ
humanist,ˈhjumənɪst
nightshirt,ˈnaɪˌʧərt
mimic,ˈmɪmɪk
traveler,ˈtrævələr
inherit,ˌɪnˈhɛrət
thwarting,θˈwɔrtɪŋ
scum,skəm
marked,mɑrkt
fragmented,ˈfrægməntɪd
unwisely,ənˈwaɪzli
sterling,ˈstərlɪŋ
acceptability,əkˌsɛptəˈbɪləti
fibrin,ˈfaɪbrən
godless,ˈgɑdləs
picket,ˈpɪkɪt
shady,ˈʃeɪdi
synthesis,ˈsɪnθəsəs
glaze,gleɪz
ratify,ˈrætəˌfaɪ
inverness,ˈɪnvərˌnɛs
hellenistic,ˌhɛləˈnɪstɪk
sophistication,səˌfɪstəˈkeɪʃən
peele,pil
pedantry,ˈpɛdəntri
mongolian,mɑŋˈgoʊljən
lapland,ˈlæˌplænd
stipulate,ˈstɪpjəˌleɪt
querulous,kˈwɛrələs
hyperbolic,ˌhaɪpərˈbɑlɪk
pharmacist,ˈfɑrməsɪst
bituminous,bɪˈtumənəs
fama,ˈfɑmə
ged,ˈʤiˈiˈdi
phrasing,ˈfreɪzɪŋ
crust,krəst
gating,ˈgeɪtɪŋ
ito,ˈiˌtoʊ
commend,kəˈmɛnd
bridal,ˈbraɪdəl
mottling,ˈmɑtəlɪŋ
believing,bɪˈlivɪŋ
submerse,səbˈmərs
economist,ɪˈkɑnəmɪst
disqualification,dɪskˌwɑləfəˈkeɪʃən
excommunicate,ˌɛkskəmˈjunəˌkeɪt
fanaticism,fəˈnætəˌsɪzəm
wey,weɪ
perking,ˈpərkɪŋ
hatchet,ˈhæʧət
concurrently,kənˈkərəntli
snowfall,sˈnoʊfɑl
spout,spaʊt
verdin,ˈvərdɪn
optic,ˈɑptɪk
jewish,ʤuɪʃ
drugstore,ˈdrəgˌstɔr
hardy,ˈhɑrdi
eighth,eɪθ
unread,ənˈrɛd
loving,ˈləvɪŋ
uncontrolled,ˌənkənˈtroʊld
blitz,blɪts
understate,ˈəndərˌsteɪt
involuntarily,ˌɪnˌvɑlənˈtərəli
pun,pən
murmuring,ˈmərmərɪŋ
decker,ˈdɛkər
desertion,dɪˈzərʃən
literate,ˈlɪtərət
assailant,əˈseɪlənt
stayer,steɪər
wreck,rɛk
oversized,ˈoʊvərˌsaɪzd
realignment,riəˈlaɪnmənt
dol,dɑl
disinterest,dɪˈsɪntərəst
skeptic,ˈskɛptɪk
bolero,boʊˈlɛroʊ
maul,mɔl
suckle,ˈsəkəl
abyssinian,æbˈsɪˌniən
amati,əˈmɑti
corrupting,kərˈəptɪŋ
olive,ˈɑlɪv
byzantine,ˈbɪzənˌtin
promising,ˈprɑməsɪŋ
cheesecake,ˈʧizˌkeɪk
raw,rɑ
breth,brɛθ
undistinguished,ˌəndɪˈstɪŋgwɪʃt
forehead,ˈfɔrhɛd
outstretch,aʊtˈstrɛʧ
tremendous,trɪˈmɛndəs
investigatory,ˌɪnˈvɛstəgəˌtɔri
rather,ˈrəðər
chase,ʧeɪs
mince,mɪns
original,ərˈɪʤənəl
convinced,kənˈvɪnst
stylize,ˈstaɪˌlaɪz
funerary,fˈjunərˌɛri
dealer,ˈdilər
zinc,zɪŋk
entrap,ɪnˈtræp
explanation,ˌɛkspləˈneɪʃən
organically,ɔrˈgænɪkli
plough,ploʊ
thesaurus,θəˈsɔrəs
debate,dəˈbeɪt
juniata,juniˈɑtə
socialistic,ˌsoʊʃəˈlɪstɪk
efficiency,ɪˈfɪʃənsi
sword,sɔrd
loath,loʊθ
anglican,ˈæŋglɪkən
tincture,ˈtɪŋkʧər
impracticable,ˌɪmˈpræktɪkəbəl
can,kən
rogue,roʊg
sinkhole,ˈsɪŋˌkhoʊl
garner,ˈgɑrnər
indecency,ˌɪnˈdisənsi
melted,ˈmɛltɪd
condemn,kənˈdɛm
snatched,snæʧt
stylistically,staɪˈlɪstɪkli
satirize,ˈsætərˌaɪz
relevant,ˈrɛləvənt
malignancy,məˈlɪgnənsi
satanic,səˈtænɪk
shan,ʃæn
norway,ˈnɔrˌweɪ
preventative,priˈvɛntətɪv
hazing,ˈheɪzɪŋ
tasty,ˈteɪsti
concretely,ˈkɑnˌkritli
kabuki,kəˈbuˌki
declassify,dɪˈklæsəˌfaɪ
instance,ˈɪnstəns
streamline,ˈstrimˌlaɪn
brattle,ˈbrætəl
artie,ˈɑrti
schooled,skuld
playful,ˈpleɪfəl
coli,ˈkoʊli
juicy,ˈʤusi
err,ɛr
srinivasan,ʃriˌnivɑˈsɑn
baldly,ˈbɔldli
nixie,ˈnɪksi
strength,strɛŋθ
bogie,ˈbʊgi
pom,pɔm
ghee,gi
polymorphic,ˌpɑˌliˈmɔrfɪk
spineless,ˈspaɪnləs
stripling,ˈstrɪplɪŋ
respondent,rɪˈspɑndənt
rejoicing,rɪˈʤɔɪsɪŋ
stude,stud
bensel,ˈbɛnsəl
medina,məˈdinə
instigation,ˌɪnstɪˈgeɪʃən
gogo,ˈgoʊˌgoʊ
transportable,trænˈspɔrtəbəl
weathering,ˈwɛðərɪŋ
fager,ˈfeɪgər
patrimony,ˈpætrəˌmoʊni
shor,ʃɔr
configure,kənˈfɪgjər
foxy,ˈfɑksi
spear,spɪr
expropriate,ɛkˈsproʊpriˌeɪt
perspective,pərˈspɛktɪv
probity,ˈproʊbəti
becker,ˈbɛkər
wiggle,ˈwɪgəl
bedouin,ˈbɛdəwən
parsi,ˈpɑrsi
obstacle,ˈɑbstəkəl
potluck,ˈpɑˌtlək
schizophrenic,ˌʃɪzəˈfrɛnɪk
thoughtless,ˈθɔtləs
palatine,ˈpæləˌtaɪn
perine,pərˈini
staircase,ˈstɛrˌkeɪs
convention,kənˈvɛnʃən
lamping,ˈlæmpɪŋ
avenging,əˈvɛnʤɪŋ
delbert,ˈdɛlbərt
outrageously,ˌaʊˈtreɪʤəsli
slugged,sləgd
herling,ˈhərlɪŋ
whispering,ˈwɪspərɪŋ
skein,skeɪn
weatherly,ˈwɛðərli
elsewhere,ˈɛlsˌwɛr
duffel,ˈdəfəl
pleat,plit
falsely,ˈfɔlsli
waylay,ˈweɪˌleɪ
crazed,kreɪzd
digestible,daɪˈʤɛstəbəl
gnarl,nɑrl
profanation,ˌprɔfəˈneɪʃən
hoopoe,ˈhuˌpu
signify,ˈsɪgnəˌfaɪ
thimble,ˈθɪmbəl
falconry,ˈfælkənri
phillip,ˈfɪlɪp
frogmouth,ˈfrɑgˌmaʊθ
postdate,ˌpoʊstˈdeɪt
gullion,ˈgəljən
jerry,ˈʤɛri
dissociation,dɪˌsoʊsiˈeɪʃən
damnation,dæmˈneɪʃən
cyclone,sɪˈkloʊn
seaport,ˈsiˌpɔrt
deep,dip
blandness,ˈblændnəs
forgiving,fərˈgɪvɪŋ
incrimination,ˌɪnˌkrɪməˈneɪʃən
stabler,ˈsteɪbələr
roger,ˈrɑʤər
sting,stɪŋ
purposeless,ˈpərpəsləs
ramshackle,ˈræmˌʃækəl
persevere,pərsəˈvɪr
celt,sɛlt
columned,ˈkɑləmd
ream,rim
delegation,ˌdɛləˈgeɪʃən
disagree,dɪsəˈgri
vagary,ˈveɪgəri
reason,ˈrizən
eclectic,ɪˈklɛktɪk
rudiment,ˈrudɪmənt
glandular,ˈglænʤələr
unarmed,əˈnɑrmd
infestation,ˌɪnˈfɛˈsteɪʃən
untrammeled,ənˈtræməld
guarantee,ˌgɛrənˈti
angelic,ˌænˈʤɛlɪk
graveyard,ˈgreɪvˌjɑrd
jeroboam,ˌʤɛrəˈboʊəm
jacketed,ˈʤækətɪd
catatonic,ˌkætəˈtɑnɪk
neoprene,ˈniəˌprin
aim,eɪm
stan,stæn
condor,ˈkɑndər
pert,pərt
bravo,ˈbrɑvoʊ
jannock,ˈʤænək
flagellum,fləˈʤɛləm
chunky,ˈʧəŋki
mazur,ˈmæzər
principal,ˈprɪnsəpəl
noneconomic,ˌnɑˌnɛkəˈnɑmɪk
vanessa,vəˈnɛsə
sensationalist,sɛnˈseɪʃənəlɪst
bodyguard,ˈbɑdiˌgɑrd
habeas,ˈhæbiəs
toast,toʊst
milo,ˈmaɪloʊ
phony,ˈfoʊni
vestal,ˈvɛstəl
diligent,ˈdɪlɪʤənt
tiffany,ˈtɪfəni
seasonality,ˈsizəˌnælɪti
parachute,ˈpɛrəˌʃut
instinct,ˈɪnstɪŋkt
percent,pərˈsɛnt
commerce,ˈkɑmərs
netter,ˈnɛtər
laser,ˈleɪzər
thaler,ˈθeɪlər
narcissus,nɑrˈsɪsəs
patten,ˈpætən
deserving,dɪˈzərvɪŋ
ticking,ˈtɪkɪŋ
hereford,ˈhɛrəfərd
ascorbic,əˈskɔrbɪk
altimetry,ælˈtɪmətri
broad,brɔd
reproduce,ˌriprəˈdus
rant,rænt
guest,gɛst
samson,ˈsæmsən
telescopic,ˌtɛləˈskɔpɪk
genteel,ʤɛnˈtil
declared,dɪˈklɛrd
risser,ˈrɪsər
motyka,ˈmɑtaɪkə
chinchilla,ʧɪnˈʧɪlə
horning,ˈhɔrnɪŋ
lilac,ˈlaɪˌlæk
sheller,ˈʃɛlər
flop,flɑp
implantation,ˌɪmplænˈteɪʃən
bookseller,ˈbʊkˌsɛlər
enamel,ɪˈnæməl
totality,toʊˈtæləti
scythe,sɪθ
lengthwise,ˈlɛŋθˌwaɪz
relocation,ˌriˈloʊˈkeɪʃən
cuppy,ˈkəpi
blessed,blɛst
advisedly,ədˈvaɪzədli
khaki,ˈkɑki
depreciable,dɪˈprɪʃəbəl
nat,næt
chipmunk,ˈʧɪpməŋk
crewel,kruəl
discontinue,dɪskənˈtɪnju
henceforth,ˈhɛnsˈfɔrθ
lory,ˈlɔri
loup,lup
vaguely,ˈveɪgli
desperately,ˈdɛspərətli
zant,zænt
compensation,ˌkɑmpənˈseɪʃən
notified,ˈnoʊtəˌfaɪd
excommunication,ˌɛkskəmˌjunəˈkeɪʃən
diverting,dɪˈvərtɪŋ
kulkarni,kəlˈkɑrni
grant,grænt
secretariat,ˌsɛkrɪˈtɛriət
concerted,kənˈsərtɪd
undelivered,ˌəndɪˈlɪvərd
krome,kroʊm
inefficiently,ˌɪnɪˈfɪʃəntli
surviving,sərˈvaɪvɪŋ
silkwood,ˈsɪlkˌwʊd
significantly,sɪgˈnɪfɪkəntli
huss,həs
unheralded,ənˈhɛrəldɪd
dissemble,dɪˈsɛmbəl
makeshift,ˈmeɪkˌʃɪft
manger,ˈmeɪnʤər
bacterium,bækˈtɪriəm
skied,skid
unnatural,ənˈnæʧərəl
blind,blaɪnd
viator,vaɪˈeɪtər
mere,mɪr
xylon,ˈzaɪlən
emeline,ˈɛmɪˌlaɪn
technology,tɛkˈnɑləʤi
seine,seɪn
correct,kərˈɛkt
subliminal,səˈblɪmɪnəl
investigation,ˌɪnˌvɛstəˈgeɪʃən
turns,tərnz
engine,ˈɪnʤən
inverse,ˌɪnˈvərs
one,wən
tightwad,ˈtaɪtˌwɑd
burnt,bərnt
embalm,ɛmˈbɑm
comedic,kəˈmidɪk
boron,ˈbɔˌrɑn
bedlam,ˈbɛdləm
meatless,ˈmitləs
openness,ˈoʊpənəs
rudd,rəd
grease,gris
disk,dɪsk
jeanie,ˈʤini
eosinophilia,ˌiɔˌsɪnəˈfɪljə
nastiness,ˈnæstinəs
rohan,roʊən
baronet,ˌbɛrəˈnɛt
nourish,nərɪʃ
henna,ˈhɛnə
spray,spreɪ
probate,ˈproʊˌbeɪt
dreariness,ˈdririnəs
izzard,ˈɪzərd
systemically,səˈstɛmɪkli
zip,zɪp
andria,ˈændriə
disinflation,ˌdɪsɪnˈfleɪʃən
derivative,dərˈɪvɪtɪv
pursuit,pərˈsut
woomer,ˈwumər
assimilation,əˌsɪməˈleɪʃən
goo,gu
twiggy,tˈwɪgi
synchronization,ˌsɪŋkrənəˈzeɪʃən
obtainable,əbˈteɪnəbəl
expend,ɪkˈspɛnd
doldrum,ˈdoʊldrəm
gasket,ˈgæskət
angulated,ˈæŋgjuˌleɪtɪd
kiel,kil
resigned,rɪˈzaɪnd
enlistment,ɛnˈlɪstmənt
polaris,poʊˈlɛrəs
congratulation,kənˌgræʧəˈleɪʃən
plateau,plæˈtoʊ
drinking,ˈdrɪŋkɪŋ
voluminous,vəˈlumənəs
ramp,ræmp
incisor,ˌɪnˈsaɪzər
freckled,ˈfrɛkəld
turbine,ˈtərbaɪn
socialist,ˈsoʊʃəlɪst
inspect,ˌɪnˈspɛkt
caroline,ˈkɛrəˌlaɪn
enough,ɪˈnəf
dialectic,ˌdaɪəˈlɛktɪk
enrollment,ɛnˈroʊlmənt
adherence,əˈdhɪrəns
sovereignty,ˈsɑvrənti
instigate,ˈɪnstəˌgeɪt
misidentify,mɪsaɪˈdɛnəˌfaɪ
tinker,ˈtɪŋkər
moll,mɑl
generalization,ˌʤɛnərəlɪˈzeɪʃən
antiquate,ˈæntəkˌweɪt
becket,ˈbɛkət
breakup,ˈbreɪˌkəp
underpower,ˌəndərˈpaʊər
headship,ˈhɛdˌʃɪp
hessite,ˈhɛsaɪt
kanawha,kəˈnɔhə
fondue,ˈfɑnˌdu
laconic,lɑˈkɑnɪk
civilization,ˌsɪvəlɪˈzeɪʃən
castration,ˌkæˈstreɪʃən
officially,əˈfɪʃəli
interrelationship,ˈɪntərriˈleɪʃənʃɪp
paranoiac,ˌpɛrəˈnɔɪˌæk
dawn,dɔn
denaro,dɪˈnɑroʊ
driver,ˈdraɪvər
humour,ˈhjumər
undiplomatic,ənˌdɪpləˈmætɪk
hackmatack,ˈhækməˌtæk
beholder,biˈhoʊldər
dogs,dɔgz
czechoslovakian,ˌʧɛʧəsloʊˈvɑkiən
presidentially,ˌprɛzɪˈdɛnʃəli
endeavor,ɪnˈdɛvər
inger,ˈɪŋər
fraternal,frəˈtərnəl
pico,ˈpikoʊ
formaldehyde,fərˈmældəˌhaɪd
huron,ˈhjʊˌrɑn
mawkish,ˈmɔkɪʃ
moderately,ˈmɑdərətli
fitzroy,ˈfɪtsˌrɔɪ
antiaircraft,ˌæntaɪˈɛrˌkræft
burgee,ˈbərgi
payable,ˈpeɪəbəl
mythology,məˈθɑləˌʤi
touchstone,ˈtəʧˌstoʊn
sequel,ˈsikwəl
subsequently,ˈsəbsəkwəntli
passable,ˈpæsəbəl
virtually,ˈvərʧuəli
traipse,treɪps
wealthy,ˈwɛlθi
month,mənθ
ovule,ˈoʊvjul
laceration,ˌlæsərˈeɪʃən
birdlike,ˈbərˌdlaɪk
blowout,bloʊaʊt
newlywed,ˈnuliˌwɛd
airfoil,ˈɛrˌfɔɪl
nandi,ˈnɑndi
jama,ˈʤæmə
uncouth,ˈənˈkuθ
spiking,ˈspaɪkɪŋ
multiplex,ˈməltiˌplɛks
judith,ˈʤudɪθ
mahayana,ˌmɑhəˈjɑnə
rube,rub
nevertheless,ˌnɛvərðəˈlɛs
inform,ˌɪnˈfɔrm
founder,ˈfaʊndər
allergic,əˈlərʤɪk
quarterly,kˈwɔrtərli
sheard,ʃɪrd
implement,ˈɪmpləmənt
disinfectant,dɪsɪnˈfɛktənt
historic,hɪˈstɔrɪk
pombo,ˈpɑmboʊ
lend,lɛnd
carloading,ˈkɑˌrloʊdɪŋ
chagrin,ʃəˈgrɪn
polonius,pəˈloʊniəs
hornless,ˈhɔrnləs
hubert,ˈhjubərt
semen,ˈsimən
anthropomorphic,ˌænθrəpəˈmɔrfɪk
dispatch,dɪˈspæʧ
coup,ku
psychiatrist,səˈkaɪətrəst
expiate,ˈɛkspiˌeɪt
